decision_time,side,signal_entry,stop,target,size,zone,setup_type,entry_type,limit_price,valid_until,max_holding_minutes,entry_time,entry,entry_fee_bps,risk_price,mfe_r,trailed,exit,pnl,equity,exit_time,exit_reason,r_multiple,hold_minutes
2026-07-01 15:15:59.999000+00:00,long,59867.9,58835.72246365971,61416.16630451044,0.24220639492543553,,continuation,limit,59867.9,2026-07-01T15:45:59.999000+00:00,1080.0,2026-07-01 15:16:59.999000+00:00,59867.9,2,1032.1775363402921,1.4087692754443024,False,60401.717240000005,119.07903051329271,100119.0790305133,2026-07-02 09:16:59.999000+00:00,time_exit,0.47631612205317103,1080.0
2026-07-02 09:16:59.999000+00:00,long,60413.8,59786.66682877426,61354.499756838624,0.39911411014517034,,continuation,limit,60413.8,2026-07-02T09:46:59.999000+00:00,1080.0,2026-07-02 09:17:59.999000+00:00,60413.8,2,627.1331712257452,1.5374724926692167,False,61342.22885688726,353.48538250188903,100472.56441301519,2026-07-02 09:53:59.999000+00:00,target,1.4122598246999816,36.0
2026-07-02 14:00:59.999000+00:00,long,61878.6,60973.312760979956,63236.530858530066,0.2774604569754422,,continuation,limit,61878.6,2026-07-02T14:30:59.999000+00:00,1080.0,2026-07-02 14:01:59.999000+00:00,61878.6,2,905.2872390200428,0.3329330040333514,False,61512.695,-113.49161166844448,100359.07280134675,2026-07-02 22:01:59.999000+00:00,abort_no_momentum,-0.45183125296538384,480.0
2026-07-02 23:30:59.999000+00:00,long,61483.5,60953.83152220614,62278.00271669078,0.47368815121562563,,continuation,limit,61483.5,2026-07-03T00:00:59.999000+00:00,1080.0,2026-07-02 23:31:59.999000+00:00,61483.5,2,529.6684777938572,1.628754657240058,False,62265.54711614745,349.87442557340484,100708.94722692015,2026-07-03 15:06:59.999000+00:00,target,1.3944904663117206,935.0
2026-07-03 20:15:59.999000+00:00,long,62393.9,61858.67656879179,63196.73514681232,0.4704061021748398,,continuation,limit,62393.9,2026-07-03T20:45:59.999000+00:00,1080.0,2026-07-03 20:16:59.999000+00:00,62393.9,2,535.2234312082146,1.052457660025087,False,62686.960100000004,117.2430008053572,100826.19022772551,2026-07-04 14:16:59.999000+00:00,time_exit,0.4656706441034772,1080.0
2026-07-04 14:16:59.999000+00:00,long,62699.5,62373.79991168849,63188.05013246726,0.773918965991291,,continuation,limit,62699.5,2026-07-04T14:46:59.999000+00:00,1080.0,2026-07-04 14:17:59.999000+00:00,62699.5,2,325.7000883115106,1.7043286751248345,False,63175.41252244077,334.1665358603124,101160.35676358582,2026-07-04 17:48:59.999000+00:00,target,1.325713230284957,211.0
2026-07-04 17:48:59.999000+00:00,long,63232.7,62768.39741915708,63929.15387126437,0.5446898258670828,,continuation,limit,63232.7,2026-07-04T18:18:59.999000+00:00,1080.0,2026-07-04 17:49:59.999000+00:00,63232.7,2,464.30258084291563,0.46801376724098065,False,62755.84373967325,-283.71842987077866,100876.63833371505,2026-07-05 01:33:59.999000+00:00,stop,-1.1218561853585989,464.0
2026-07-05 23:15:59.999000+00:00,long,63935.0,63261.59318317578,64945.110225236334,0.3745011032463539,,continuation,limit,63935.0,2026-07-05T23:45:59.999000+00:00,1080.0,2026-07-05 23:16:59.999000+00:00,63934.9,2,673.3068168242244,0.0010396449025999299,False,63248.940864539145,-273.52459019566163,100603.11374351938,2026-07-06 03:22:59.999000+00:00,stop,-1.0847515094798144,246.0
2026-07-06 21:15:59.999000+00:00,long,64341.9,63392.256729324916,65766.36490601263,0.26484448647754416,,continuation,limit,64341.9,2026-07-06T21:45:59.999000+00:00,1080.0,2026-07-06 21:16:59.999000+00:00,64341.9,2,949.6432706750857,0.18501684308792593,False,63379.57827797905,-266.66658771881924,100336.44715580056,2026-07-07 02:34:59.999000+00:00,stop,-1.0602717064947593,318.0
2026-07-07 12:15:59.999000+00:00,long,63748.5,63130.310485924354,64675.78427111347,0.4057673450908882,,continuation,limit,63748.5,2026-07-07T12:45:59.999000+00:00,1080.0,2026-07-07 12:16:59.999000+00:00,63748.4,2,618.0895140756475,0.0025886218153876044,False,63117.68442382717,-273.90273627394714,100062.54441952662,2026-07-07 13:24:59.999000+00:00,stop,-1.0921138168704252,68.0
2026-07-09 08:45:59.999000+00:00,long,62984.5,62243.36368623605,64096.20447064593,0.33753083798898914,,continuation,limit,62984.5,2026-07-09T09:15:59.999000+00:00,1080.0,2026-07-09 08:46:59.999000+00:00,62984.5,2,741.1363137639491,0.33529594405914764,False,62663.66476,-123.11908926561401,99939.425330261,2026-07-09 16:46:59.999000+00:00,abort_no_momentum,-0.4921685331103303,480.0
2026-07-09 18:00:59.999000+00:00,long,63149.4,62370.98210844777,64317.02683732834,0.32096970796423346,,continuation,limit,63149.4,2026-07-09T18:30:59.999000+00:00,1080.0,2026-07-09 18:01:59.999000+00:00,63149.3,2,778.3178915522294,1.5913806086736755,False,64304.16343196088,356.3025317404051,100295.72786200141,2026-07-10 08:17:59.999000+00:00,target,1.4262571916868272,856.0
2026-07-10 08:17:59.999000+00:00,long,64342.7,63861.444917661196,65064.58262350819,0.5210112658685363,,continuation,limit,64342.7,2026-07-10T08:47:59.999000+00:00,1080.0,2026-07-10 08:18:59.999000+00:00,64342.7,2,481.255082338801,0.7008757151421531,False,63848.67262867767,-280.73141929677837,100014.99644270464,2026-07-10 14:32:59.999000+00:00,stop,-1.1196146646766028,374.0
2026-07-10 14:32:59.999000+00:00,long,63880.4,63221.242930697816,64869.13560395328,0.37932915044279847,,continuation,limit,63880.4,2026-07-10T15:02:59.999000+00:00,1080.0,2026-07-10 14:33:59.999000+00:00,63880.3,2,659.0570693021873,0.49737726104216107,False,64087.18,61.47421488596159,100076.4706575906,2026-07-10 22:33:59.999000+00:00,abort_no_momentum,0.2458972941016893,480.0
2026-07-10 23:15:59.999000+00:00,long,64115.6,63658.09483093185,64801.85775360223,0.5468597811770431,,continuation,limit,64115.6,2026-07-10T23:45:59.999000+00:00,1080.0,2026-07-10 23:16:59.999000+00:00,64115.6,2,457.5051690681503,0.37835638087449336,False,64158.76568,-0.9497985582266502,100075.52085903237,2026-07-11 07:16:59.999000+00:00,abort_no_momentum,-0.0037962911840741112,480.0
2026-07-11 20:30:59.999000+00:00,long,64328.7,64027.07192204981,64781.142116925286,0.8294612485940254,,continuation,limit,64328.7,2026-07-11T21:00:59.999000+00:00,1080.0,2026-07-11 20:31:59.999000+00:00,64328.7,2,301.62807795019035,0.36535060246679807,False,64014.2665076654,-298.0307066287594,99777.49015240361,2026-07-11 23:21:59.999000+00:00,stop,-1.1912232045179927,170.0
2026-07-14 12:45:59.999000+00:00,long,63674.0,63073.54004168828,64574.68993746759,0.41542108166938124,,continuation,limit,63674.0,2026-07-14T13:15:59.999000+00:00,1080.0,2026-07-14 12:46:59.999000+00:00,63674.0,2,600.4599583117233,1.5218333668231245,False,64561.7749994801,350.09998496982377,100127.59013737344,2026-07-14 15:30:59.999000+00:00,target,1.4035229165819698,164.0
2026-07-15 05:15:59.999000+00:00,long,64608.6,64110.369253394805,65355.946119907785,0.5024157522373707,,continuation,limit,64608.6,2026-07-15T05:45:59.999000+00:00,1080.0,2026-07-15 05:16:59.999000+00:00,64608.6,2,498.2307466051934,1.5081365514268907,False,65342.87493068381,346.0045711437223,100473.59470851716,2026-07-15 13:02:59.999000+00:00,target,1.3822546639502962,466.0
2026-07-15 13:02:59.999000+00:00,long,65330.1,64728.262659932996,66232.8560101005,0.41736191832718156,,continuation,limit,65330.1,2026-07-15T13:32:59.999000+00:00,1080.0,2026-07-15 13:03:59.999000+00:00,65330.0,2,601.737340067004,0.4315836540426081,False,64715.31700740101,-275.5033782047495,100198.09133031241,2026-07-15 19:20:59.999000+00:00,stop,-1.0970013112850614,377.0
2026-07-18 13:15:59.999000+00:00,long,63999.9,63765.56419742219,64351.40370386673,1.068958415957788,,continuation,limit,63999.9,2026-07-18T13:45:59.999000+00:00,1080.0,2026-07-18 13:16:59.999000+00:00,63999.9,2,234.33580257781432,1.8503361211994735,False,64338.533423125955,313.9147928434752,100512.00612315588,2026-07-18 17:20:59.999000+00:00,target,1.2531767369046194,244.0
2026-07-18 18:30:59.999000+00:00,long,64509.4,64170.620824502716,65017.56876324592,0.7417221407987777,,continuation,limit,64509.4,2026-07-18T19:00:59.999000+00:00,1080.0,2026-07-18 18:31:59.999000+00:00,64509.4,2,338.7791754972859,1.297010063723712,False,64310.6353,-180.84809989857825,100331.1580232573,2026-07-19 12:31:59.999000+00:00,time_exit,-0.7197074533642729,1080.0
2026-07-20 18:15:59.999000+00:00,long,65711.9,64861.74170453987,66987.13744319018,0.2950366965747121,,continuation,limit,65711.9,2026-07-20T18:45:59.999000+00:00,1080.0,2026-07-20 18:16:59.999000+00:00,65711.9,2,850.1582954601254,0.042345055258816204,False,65182.9608,-169.54964135089406,100161.60838190641,2026-07-21 02:16:59.999000+00:00,abort_no_momentum,-0.6759600693997428,480.0
2026-07-21 05:15:59.999000+00:00,long,65496.3,65021.711948857956,66208.18207671307,0.527623947447046,,continuation,limit,65496.3,2026-07-21T05:45:59.999000+00:00,1080.0,2026-07-21 05:16:59.999000+00:00,65496.3,2,474.58805114204733,1.5198444172040755,False,66194.94044029772,344.24492579812437,100505.85330770453,2026-07-21 07:47:59.999000+00:00,target,1.374757979067389,151.0
2026-07-21 08:00:59.999000+00:00,long,66170.7,65610.67772546507,67010.73341180239,0.44866899888566986,,continuation,limit,66170.7,2026-07-21T08:30:59.999000+00:00,1080.0,2026-07-21 08:01:59.999000+00:00,66170.7,2,560.0222745349311,1.345303632120111,False,66323.83258,47.88936923750448,100553.74267694203,2026-07-22 02:01:59.999000+00:00,time_exit,0.19059335416371428,1080.0
2026-07-22 02:01:59.999000+00:00,long,66337.1,65879.67352699106,67023.23970951342,0.5495623264625504,,continuation,limit,66337.1,2026-07-22T02:31:59.999000+00:00,1080.0,2026-07-22 02:02:59.999000+00:00,66337.1,2,457.42647300894896,0.3862915909472082,False,65866.49759228565,-284.015501050111,100269.72717589192,2026-07-22 06:10:59.999000+00:00,stop,-1.129805787389101,248.0
2026-07-26 07:00:59.999000+00:00,long,64412.9,64180.66507249823,64761.25239125266,1.0793997295597098,,continuation,limit,64412.9,2026-07-26T07:30:59.999000+00:00,1080.0,2026-07-26 07:01:59.999000+00:00,64412.9,2,232.23492750176956,1.749952103982743,False,64748.30014077441,313.18071904745096,100582.90789493937,2026-07-26 15:36:59.999000+00:00,target,1.2493530315409132,515.0
2026-07-26 15:36:59.999000+00:00,long,64785.2,64485.53236109416,65234.70145835875,0.8391205358559425,,continuation,limit,64785.2,2026-07-26T16:06:59.999000+00:00,1080.0,2026-07-26 15:37:59.999000+00:00,64785.2,2,299.6676389058339,1.5260239699879727,False,65221.65451806708,328.0010158849851,100910.90891082436,2026-07-26 22:30:59.999000+00:00,target,1.3044006094060754,413.0
2026-07-26 22:30:59.999000+00:00,long,65189.1,64847.03978005206,65702.19032992191,0.7375229786014147,,continuation,limit,65189.1,2026-07-26T23:00:59.999000+00:00,1080.0,2026-07-26 22:31:59.999000+00:00,65188.9,2,341.8602199479428,1.5608718676927462,False,65689.04989185593,335.0327837799417,101245.9416946043,2026-07-27 06:06:59.999000+00:00,target,1.3288109010728895,455.0
2026-07-27 06:06:59.999000+00:00,long,65656.0,65201.046565066055,66338.43015240092,0.5563533205838098,,continuation,limit,65656.0,2026-07-27T06:36:59.999000+00:00,1080.0,2026-07-27 06:07:59.999000+00:00,65656.0,2,454.95343493394466,0.0,False,65188.006355753045,-285.8091866112927,100960.13250799301,2026-07-27 07:40:59.999000+00:00,stop,-1.1291679718813845,93.0
2026-07-27 08:00:59.999000+00:00,long,65214.6,64739.35686907077,65927.46469639384,0.5310972738868857,,continuation,limit,65214.6,2026-07-27T08:30:59.999000+00:00,1080.0,2026-07-27 08:01:59.999000+00:00,65214.6,2,475.24313092922966,0.9994884072732477,False,64726.408997696955,-283.3919793983595,100676.74052859464,2026-07-27 14:30:59.999000+00:00,stop,-1.1227876681953595,389.0
