decision_time,bias,zone,sweep_time,reclaim_time,entry,stop,target,market_flow_score,setup_type
2026-05-20 00:06:59.999000+00:00,bearish,anchored_vwap:1faf26e4d38c85,2026-05-20 00:02:59.999000+00:00,2026-05-20 00:06:59.999000+00:00,76760.3,76962.62016588154,76377.0,0.603,reversal
2026-05-20 01:29:59.999000+00:00,bearish,untested_breakout:195ea6c8e2b95f,2026-05-20 00:29:59.999000+00:00,2026-05-20 01:29:59.999000+00:00,76550.7,76973.20875593172,75916.93686610242,0.552,reversal
2026-05-20 01:52:59.999000+00:00,bearish,anchored_vwap:08814c7e8427a2,2026-05-20 01:50:59.999000+00:00,2026-05-20 01:52:59.999000+00:00,76725.7,76986.52923343092,76107.7,0.587,reversal
2026-05-20 02:29:59.999000+00:00,bearish,volume_hvn:c90514c2914fda,2026-05-20 02:22:59.999000+00:00,2026-05-20 02:29:59.999000+00:00,76742.1,77013.72230280344,76107.7,0.538,reversal
2026-05-22 22:34:59.999000+00:00,bearish,untested_breakout:3a187de00ff011,2026-05-22 22:31:59.999000+00:00,2026-05-22 22:34:59.999000+00:00,75701.9,75984.35775450473,75278.2133682429,0.602,reversal
2026-05-22 23:32:59.999000+00:00,bearish,untested_breakout:3a187de00ff011,2026-05-22 22:32:59.999000+00:00,2026-05-22 22:34:59.999000+00:00,75662.1,75947.76651333847,75233.6002299923,0.523,reversal
2026-05-22 23:33:59.999000+00:00,bearish,untested_breakout:3a187de00ff011,2026-05-22 23:09:59.999000+00:00,2026-05-22 23:19:59.999000+00:00,75671.2,75956.86651333846,75242.7002299923,0.577,reversal
2026-05-23 02:52:59.999000+00:00,bearish,swing:15deb45b0a51d3,2026-05-23 02:13:59.999000+00:00,2026-05-23 02:14:59.999000+00:00,75530.1,75780.7045240237,75154.19321396446,0.662,reversal
2026-05-24 17:51:59.999000+00:00,bearish,equal_highs:dc164e7559b552,2026-05-24 17:50:59.999000+00:00,2026-05-24 17:51:59.999000+00:00,76673.2,76923.97659481251,76159.7,0.734,reversal
2026-05-24 18:51:59.999000+00:00,bearish,swing:b2c2633aab9c7c,2026-05-24 18:17:59.999000+00:00,2026-05-24 18:25:59.999000+00:00,76584.5,76841.42432905074,76159.7,0.656,reversal
2026-05-26 00:09:59.999000+00:00,bearish,untested_breakout:1447af14241b85,2026-05-25 23:15:59.999000+00:00,2026-05-26 00:09:59.999000+00:00,77200.9,77402.65790609288,76871.4,0.568,reversal
2026-05-26 00:16:59.999000+00:00,bearish,untested_breakout:1447af14241b85,2026-05-25 23:31:59.999000+00:00,2026-05-26 00:09:59.999000+00:00,77159.7,77403.20019851481,76641.70171680562,0.576,reversal
2026-05-26 02:41:59.999000+00:00,bearish,vwap_lower:2d59608df3900f,2026-05-26 02:37:59.999000+00:00,2026-05-26 02:41:59.999000+00:00,76595.1,76854.82992176856,76056.0,0.597,reversal
2026-05-26 07:15:59.999000+00:00,bearish,swing:345491a9250b52,2026-05-26 06:40:59.999000+00:00,2026-05-26 06:45:59.999000+00:00,76628.1,77118.32376664174,74203.6,0.714,reversal
2026-05-26 08:29:59.999000+00:00,bearish,untested_breakout:6ee10b41e029db,2026-05-26 08:12:59.999000+00:00,2026-05-26 08:16:59.999000+00:00,76770.2,76977.3100634414,76434.0,0.641,reversal
2026-05-26 09:13:59.999000+00:00,bearish,untested_breakout:6ee10b41e029db,2026-05-26 08:13:59.999000+00:00,2026-05-26 08:16:59.999000+00:00,76659.0,76885.76155361767,76161.4944,0.634,reversal
2026-05-26 09:14:59.999000+00:00,bearish,untested_breakout:6ee10b41e029db,2026-05-26 08:25:59.999000+00:00,2026-05-26 08:50:59.999000+00:00,76651.2,76885.76155361767,76161.4944,0.623,reversal
2026-05-26 09:40:59.999000+00:00,bearish,volume_hvn:df8d12c1c37f98,2026-05-26 09:31:59.999000+00:00,2026-05-26 09:40:59.999000+00:00,76645.3,76843.65514124575,76164.68880000002,0.604,reversal
2026-05-26 18:27:59.999000+00:00,bearish,untested_breakout:e873fef8f4974e,2026-05-26 18:22:59.999000+00:00,2026-05-26 18:27:59.999000+00:00,76105.3,76552.80476725845,74203.6,0.68,reversal
2026-05-26 19:23:59.999000+00:00,bearish,untested_breakout:e873fef8f4974e,2026-05-26 18:23:59.999000+00:00,2026-05-26 18:27:59.999000+00:00,75843.5,76390.21089786953,74203.6,0.707,reversal
2026-05-26 19:24:59.999000+00:00,bearish,untested_breakout:e873fef8f4974e,2026-05-26 18:24:59.999000+00:00,2026-05-26 18:27:59.999000+00:00,75860.0,76390.21089786953,74203.6,0.69,reversal
2026-05-26 19:25:59.999000+00:00,bearish,untested_breakout:e873fef8f4974e,2026-05-26 18:25:59.999000+00:00,2026-05-26 18:27:59.999000+00:00,75889.1,76388.81089786954,74203.6,0.565,reversal
2026-05-26 19:26:59.999000+00:00,bearish,untested_breakout:e873fef8f4974e,2026-05-26 18:26:59.999000+00:00,2026-05-26 18:27:59.999000+00:00,75908.0,76375.11089786954,74203.6,0.536,reversal
2026-05-27 03:35:59.999000+00:00,bearish,untested_breakout:9afacde0635bf3,2026-05-27 02:59:59.999000+00:00,2026-05-27 03:35:59.999000+00:00,75710.5,76014.42206823363,74203.6,0.652,reversal
2026-05-27 12:23:59.999000+00:00,bearish,equal_highs:5c55a06e6ac77b,2026-05-27 12:22:59.999000+00:00,2026-05-27 12:23:59.999000+00:00,75843.4,76217.46707780327,75277.8,0.744,reversal
2026-05-27 13:23:59.999000+00:00,bearish,equal_highs:5c55a06e6ac77b,2026-05-27 12:23:59.999000+00:00,2026-05-27 12:23:59.999000+00:00,75347.4,76176.43635878642,74103.84546182035,0.765,reversal
2026-05-27 13:24:59.999000+00:00,bearish,untested_breakout:de64cd8ebc48ba,2026-05-27 12:25:59.999000+00:00,2026-05-27 12:34:59.999000+00:00,75346.4,76056.33635878643,74281.49546182033,0.638,reversal
2026-05-27 13:26:59.999000+00:00,bearish,untested_breakout:de64cd8ebc48ba,2026-05-27 12:26:59.999000+00:00,2026-05-27 12:34:59.999000+00:00,75229.2,76056.33635878643,73988.49546182035,0.651,reversal
2026-05-27 13:27:59.999000+00:00,bearish,untested_breakout:de64cd8ebc48ba,2026-05-27 12:28:59.999000+00:00,2026-05-27 12:34:59.999000+00:00,75186.9,76056.33635878643,73882.74546182033,0.665,reversal
2026-05-27 13:29:59.999000+00:00,bearish,untested_breakout:de64cd8ebc48ba,2026-05-27 12:29:59.999000+00:00,2026-05-27 12:34:59.999000+00:00,75167.0,76056.33635878643,73832.99546182036,0.686,reversal
2026-05-27 20:23:59.999000+00:00,bearish,swing:f126639d32fc80,2026-05-27 20:18:59.999000+00:00,2026-05-27 20:23:59.999000+00:00,75271.6,75577.50303940859,74632.0,0.605,reversal
2026-05-27 21:19:59.999000+00:00,bearish,swing:f126639d32fc80,2026-05-27 20:19:59.999000+00:00,2026-05-27 20:23:59.999000+00:00,75129.8,75479.99551626535,74604.50672560198,0.594,reversal
2026-05-27 21:20:59.999000+00:00,bearish,swing:f126639d32fc80,2026-05-27 20:20:59.999000+00:00,2026-05-27 20:23:59.999000+00:00,75134.1,75479.99551626535,74615.256725602,0.578,reversal
2026-05-28 14:22:59.999000+00:00,bearish,untested_breakout:548f42d8fc5f55,2026-05-28 14:14:59.999000+00:00,2026-05-28 14:22:59.999000+00:00,73136.5,73680.58494191349,72320.37258712976,0.702,reversal
2026-05-29 14:17:59.999000+00:00,bearish,vwap_lower:eee823ecfb6766,2026-05-29 14:15:59.999000+00:00,2026-05-29 14:17:59.999000+00:00,72865.8,73141.66189262718,72452.00716105924,0.605,reversal
2026-05-29 14:54:59.999000+00:00,bearish,vwap_lower:1000dd559e9436,2026-05-29 14:51:59.999000+00:00,2026-05-29 14:54:59.999000+00:00,72901.9,73235.28219313259,72401.8267103011,0.638,reversal
2026-05-31 21:50:59.999000+00:00,bearish,untested_breakout:2504a68fd8a563,2026-05-31 21:47:59.999000+00:00,2026-05-31 21:50:59.999000+00:00,73803.5,73960.0980794654,73498.07474025406,0.718,reversal
2026-05-31 23:45:59.999000+00:00,bearish,equal_highs:7fd43fe9ac8a64,2026-05-31 23:03:59.999000+00:00,2026-05-31 23:10:59.999000+00:00,73577.6,74257.00424742908,72436.0,0.684,reversal
2026-06-01 00:04:59.999000+00:00,bearish,equal_highs:7fd43fe9ac8a64,2026-05-31 23:04:59.999000+00:00,2026-05-31 23:10:59.999000+00:00,73840.2,74257.14322975559,73211.2808,0.706,reversal
2026-06-01 00:05:59.999000+00:00,bearish,equal_highs:7fd43fe9ac8a64,2026-05-31 23:05:59.999000+00:00,2026-05-31 23:10:59.999000+00:00,73802.2,74144.8432297556,73211.2808,0.67,reversal
2026-06-01 00:06:59.999000+00:00,bearish,equal_highs:7fd43fe9ac8a64,2026-05-31 23:07:59.999000+00:00,2026-05-31 23:10:59.999000+00:00,73773.9,74119.14322975559,73211.2808,0.614,reversal
2026-06-01 00:08:59.999000+00:00,bearish,anchored_vwap:722863062477c2,2026-06-01 00:03:59.999000+00:00,2026-06-01 00:08:59.999000+00:00,73702.0,73938.7432297556,73340.7,0.594,reversal
2026-06-01 00:31:59.999000+00:00,bearish,vwap_upper:236de11d57e913,2026-06-01 00:30:59.999000+00:00,2026-06-01 00:31:59.999000+00:00,73828.0,74154.43650933006,73130.1,0.679,reversal
